Module;Name;
k_ary_n_mesh.host[28];Throughput:min;6.92E+06
k_ary_n_mesh.host[28];Throughput:max;6.92E+06
k_ary_n_mesh.host[29];Latengy:count;1035
k_ary_n_mesh.host[29];Latengy:mean;0.000155
k_ary_n_mesh.host[29];Latengy:stddev;0.000174722
k_ary_n_mesh.host[29];Latengy:sum;0.160425
k_ary_n_mesh.host[29];Latengy:sqrsum;5.64E-05
k_ary_n_mesh.host[29];Latengy:min;1.66E-07
k_ary_n_mesh.host[29];Latengy:max;0.000944874
k_ary_n_mesh.host[29];Throughput:count;1
k_ary_n_mesh.host[29];Throughput:mean;7.17E+06
k_ary_n_mesh.host[29];Throughput:stddev;NaN
k_ary_n_mesh.host[29];Throughput:sum;7.17E+06
k_ary_n_mesh.host[29];Throughput:sqrsum;5.14E+13
k_ary_n_mesh.host[29];Throughput:min;7.17E+06
k_ary_n_mesh.host[29];Throughput:max;7.17E+06
k_ary_n_mesh.host[30];Latengy:count;1050
k_ary_n_mesh.host[30];Latengy:mean;0.000147954
k_ary_n_mesh.host[30];Latengy:stddev;0.00019692
k_ary_n_mesh.host[30];Latengy:sum;0.155352
k_ary_n_mesh.host[30];Latengy:sqrsum;6.37E-05
k_ary_n_mesh.host[30];Latengy:min;1.48E-07
k_ary_n_mesh.host[30];Latengy:max;0.00117813
k_ary_n_mesh.host[30];Throughput:count;1
k_ary_n_mesh.host[30];Throughput:mean;7.27E+06
k_ary_n_mesh.host[30];Throughput:stddev;NaN
k_ary_n_mesh.host[30];Throughput:sum;7.27E+06
k_ary_n_mesh.host[30];Throughput:sqrsum;5.29E+13
k_ary_n_mesh.host[30];Throughput:min;7.27E+06
k_ary_n_mesh.host[30];Throughput:max;7.27E+06
k_ary_n_mesh.host[31];Latengy:count;1014
k_ary_n_mesh.host[31];Latengy:mean;0.00013188
k_ary_n_mesh.host[31];Latengy:stddev;0.000180032
k_ary_n_mesh.host[31];Latengy:sum;0.133726
k_ary_n_mesh.host[31];Latengy:sqrsum;5.05E-05
k_ary_n_mesh.host[31];Latengy:min;1.33E-07
k_ary_n_mesh.host[31];Latengy:max;0.00119595
k_ary_n_mesh.host[31];Throughput:count;1
k_ary_n_mesh.host[31];Throughput:mean;7.02E+06
k_ary_n_mesh.host[31];Throughput:stddev;NaN
k_ary_n_mesh.host[31];Throughput:sum;7.02E+06
k_ary_n_mesh.host[31];Throughput:sqrsum;4.93E+13
k_ary_n_mesh.host[31];Throughput:min;7.02E+06
k_ary_n_mesh.host[31];Throughput:max;7.02E+06
k_ary_n_mesh.host[32];Latengy:count;974
k_ary_n_mesh.host[32];Latengy:mean;0.000128508
k_ary_n_mesh.host[32];Latengy:stddev;0.000139963
k_ary_n_mesh.host[32];Latengy:sum;0.125167
k_ary_n_mesh.host[32];Latengy:sqrsum;3.51E-05
k_ary_n_mesh.host[32];Latengy:min;1.13E-07
k_ary_n_mesh.host[32];Latengy:max;0.000694576
k_ary_n_mesh.host[32];Throughput:count;1
k_ary_n_mesh.host[32];Throughput:mean;6.75E+06
k_ary_n_mesh.host[32];Throughput:stddev;NaN
k_ary_n_mesh.host[32];Throughput:sum;6.75E+06
k_ary_n_mesh.host[32];Throughput:sqrsum;4.55E+13
k_ary_n_mesh.host[32];Throughput:min;6.75E+06
k_ary_n_mesh.host[32];Throughput:max;6.75E+06
k_ary_n_mesh.host[33];Latengy:count;952
k_ary_n_mesh.host[33];Latengy:mean;0.000147194
k_ary_n_mesh.host[33];Latengy:stddev;0.000159625
k_ary_n_mesh.host[33];Latengy:sum;0.140129
k_ary_n_mesh.host[33];Latengy:sqrsum;4.49E-05
k_ary_n_mesh.host[33];Latengy:min;1.22E-07
k_ary_n_mesh.host[33];Latengy:max;0.00086757
k_ary_n_mesh.host[33];Throughput:count;1
k_ary_n_mesh.host[33];Throughput:mean;6.59E+06
k_ary_n_mesh.host[33];Throughput:stddev;NaN
k_ary_n_mesh.host[33];Throughput:sum;6.59E+06
k_ary_n_mesh.host[33];Throughput:sqrsum;4.35E+13
k_ary_n_mesh.host[33];Throughput:min;6.59E+06
k_ary_n_mesh.host[33];Throughput:max;6.59E+06
k_ary_n_mesh.host[34];Latengy:count;1002
k_ary_n_mesh.host[34];Latengy:mean;0.000156865
k_ary_n_mesh.host[34];Latengy:stddev;0.00015291
k_ary_n_mesh.host[34];Latengy:sum;0.157178
k_ary_n_mesh.host[34];Latengy:sqrsum;4.81E-05
k_ary_n_mesh.host[34];Latengy:min;1.33E-07
